epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3453.45,0.61751,0.48591,1.03375,0.96818,0.92205,0.97039,0.86064,0.19853,0.20789,0.36326,0.000420143,0.000420143,0.000420143
43,3535.01,0.61546,0.48672,1.03552,0.96627,0.91258,0.96699,0.85749,0.19557,0.20149,0.36301,0.000406,0.000406,0.000406
44,3616.1,0.61186,0.50306,1.02884,0.97851,0.90365,0.9663,0.85885,0.19493,0.27503,0.36163,0.000391857,0.000391857,0.000391857
45,3698.43,0.60676,0.49172,1.02596,0.96896,0.92075,0.96867,0.859,0.19503,0.18637,0.36173,0.000377714,0.000377714,0.000377714
46,3778.62,0.61112,0.4816,1.03064,0.97073,0.91453,0.96668,0.8566,0.1934,0.31008,0.36314,0.000363571,0.000363571,0.000363571
47,3856.91,0.58064,0.45746,1.01605,0.96583,0.91919,0.96732,0.85977,0.19284,0.19779,0.3619,0.000349429,0.000349429,0.000349429
48,3935.33,0.59397,0.47588,1.02183,0.97819,0.91764,0.96903,0.86365,0.1915,0.17703,0.35984,0.000335286,0.000335286,0.000335286
49,4014.17,0.58862,0.46866,1.02311,0.97309,0.92929,0.96888,0.86261,0.19025,0.16566,0.35914,0.000321143,0.000321143,0.000321143
50,4091.61,0.58857,0.46805,1.02305,0.97614,0.92774,0.97014,0.86546,0.18961,0.19696,0.36005,0.000307,0.000307,0.000307
51,4169.34,0.58363,0.46661,1.01841,0.97595,0.9223,0.96652,0.86591,0.18878,0.22261,0.36058,0.000292857,0.000292857,0.000292857
52,4247.39,0.56824,0.44439,1.00977,0.9692,0.92618,0.96795,0.86378,0.18907,0.16617,0.35929,0.000278714,0.000278714,0.000278714
53,4326.0,0.57074,0.44645,1.00661,0.97523,0.91783,0.96805,0.86616,0.18774,0.22258,0.36079,0.000264571,0.000264571,0.000264571
54,4403.5,0.57526,0.45523,1.0167,0.97509,0.91919,0.96975,0.86922,0.18582,0.27076,0.35914,0.000250429,0.000250429,0.000250429
55,4481.48,0.56142,0.43925,1.00509,0.9767,0.92463,0.97204,0.87048,0.18329,0.22814,0.35717,0.000236286,0.000236286,0.000236286
56,4559.49,0.5552,0.43725,1.00342,0.96475,0.93569,0.97027,0.86935,0.18521,0.15623,0.35944,0.000222143,0.000222143,0.000222143
57,4637.16,0.54119,0.43372,0.99854,0.96252,0.93784,0.9717,0.87549,0.18169,0.16859,0.35681,0.000208,0.000208,0.000208
58,4714.9,0.5466,0.4304,1.0022,0.97123,0.92929,0.97092,0.87291,0.18258,0.18654,0.35732,0.000193857,0.000193857,0.000193857
59,4793.39,0.54214,0.42643,0.99649,0.97394,0.92908,0.97212,0.87332,0.18286,0.16694,0.35676,0.000179714,0.000179714,0.000179714
60,4871.67,0.54077,0.42737,0.99486,0.97091,0.93369,0.97333,0.87126,0.1807,0.13947,0.35568,0.000165571,0.000165571,0.000165571
61,4950.04,0.33665,0.235,0.81811,0.97407,0.93395,0.97187,0.87861,0.1803,0.14646,0.35689,0.000151429,0.000151429,0.000151429
62,5027.21,0.32588,0.22789,0.81193,0.97548,0.93162,0.9721,0.88115,0.17864,0.14454,0.3558,0.000137286,0.000137286,0.000137286
63,5104.02,0.32142,0.2218,0.80817,0.9752,0.92852,0.97262,0.88222,0.17578,0.13483,0.35346,0.000123143,0.000123143,0.000123143
64,5180.43,0.30778,0.21889,0.79995,0.97168,0.93321,0.97158,0.88448,0.17442,0.13068,0.35335,0.000109,0.000109,0.000109
65,5256.94,0.30576,0.2119,0.80539,0.98243,0.93007,0.97304,0.884,0.17311,0.13134,0.3525,9.48571e-05,9.48571e-05,9.48571e-05
66,5334.81,0.3099,0.20831,0.80695,0.9726,0.93783,0.9737,0.88531,0.17124,0.12963,0.35152,8.07143e-05,8.07143e-05,8.07143e-05
67,5411.86,0.30524,0.21053,0.80506,0.96957,0.94328,0.97197,0.88696,0.17031,0.13124,0.35149,6.65714e-05,6.65714e-05,6.65714e-05
68,5489.07,0.29344,0.20402,0.79928,0.97024,0.93743,0.97314,0.8877,0.17004,0.12825,0.35167,5.24286e-05,5.24286e-05,5.24286e-05
69,5565.89,0.2927,0.20256,0.80206,0.97228,0.94017,0.97303,0.88773,0.17026,0.12774,0.35161,3.82857e-05,3.82857e-05,3.82857e-05
70,5642.61,0.29047,0.19984,0.80047,0.97036,0.93862,0.97275,0.88915,0.16984,0.12697,0.35146,2.41429e-05,2.41429e-05,2.41429e-05
