epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3766,1.16221,2.88861,1.35455,0.69316,0.47009,0.54518,0.37243,0.45841,40.1201,0.55292,0.00332663,0.00332663,0.00332663
2,103.016,1.27219,2.04365,1.41587,0.51812,0.35354,0.34537,0.23327,0.57716,9.28601,0.66517,0.00660924,0.00660924,0.00660924
3,149.999,1.46901,2.00882,1.54527,0.46039,0.29371,0.29301,0.16787,0.7254,12.9121,0.76472,0.00984109,0.00984109,0.00984109
4,196.4,1.56827,2.02668,1.62922,0.51612,0.43925,0.43717,0.27068,0.6338,10.0548,0.69025,0.00977154,0.00977154,0.00977154
5,243.162,1.50556,1.84663,1.5983,0.67063,0.45144,0.52407,0.33932,0.57554,7.86262,0.64882,0.00969538,0.00969538,0.00969538
6,289.533,1.43358,1.74203,1.54611,0.66937,0.45377,0.53363,0.36182,0.54801,4.17317,0.62958,0.00961923,0.00961923,0.00961923
7,336.456,1.38845,1.66836,1.51428,0.71419,0.51904,0.61059,0.41387,0.52054,8.8092,0.59999,0.00954308,0.00954308,0.00954308
8,383.387,1.35672,1.5951,1.50265,0.67027,0.50971,0.57283,0.38304,0.52003,24.143,0.60483,0.00946692,0.00946692,0.00946692
9,429.995,1.3165,1.51209,1.45636,0.76479,0.50816,0.63534,0.44424,0.50932,3.70616,0.5805,0.00939077,0.00939077,0.00939077
10,476.625,1.28022,1.47798,1.42818,0.66168,0.54934,0.61015,0.41282,0.49416,4.41764,0.57588,0.00931462,0.00931462,0.00931462
11,523.241,1.27345,1.43485,1.42464,0.75533,0.56369,0.65474,0.45587,0.48621,9.52942,0.57392,0.00923846,0.00923846,0.00923846
12,569.906,1.26027,1.40743,1.41256,0.76577,0.58935,0.68643,0.47973,0.469,8.65616,0.55537,0.00916231,0.00916231,0.00916231
13,616.026,1.2302,1.34046,1.39279,0.79692,0.57809,0.6825,0.48431,0.4513,5.14231,0.54555,0.00908615,0.00908615,0.00908615
14,662.722,1.20514,1.31758,1.38013,0.808,0.5913,0.70615,0.51059,0.4311,5.33051,0.52562,0.00901,0.00901,0.00901
15,709.622,1.19722,1.31697,1.37827,0.79533,0.57668,0.68669,0.49076,0.44847,7.17807,0.54762,0.00893385,0.00893385,0.00893385
16,755.981,1.17446,1.25932,1.3566,0.76922,0.61072,0.70309,0.51091,0.42618,3.93211,0.52102,0.00885769,0.00885769,0.00885769
17,802.545,1.16514,1.23089,1.3475,0.77209,0.63481,0.72663,0.5235,0.41723,1.98831,0.51486,0.00878154,0.00878154,0.00878154
18,849.405,1.14732,1.21155,1.33195,0.78038,0.65423,0.74653,0.54672,0.404,4.34777,0.51214,0.00870538,0.00870538,0.00870538
19,896.588,1.13929,1.18459,1.33558,0.80378,0.65967,0.76422,0.55885,0.39484,4.8249,0.5008,0.00862923,0.00862923,0.00862923
20,943.263,1.10392,1.12976,1.30991,0.83914,0.62859,0.75247,0.55176,0.41007,2.49084,0.51197,0.00855308,0.00855308,0.00855308
21,990.202,1.10811,1.13883,1.32053,0.82045,0.65501,0.77134,0.57093,0.38802,3.38423,0.49642,0.00847692,0.00847692,0.00847692
22,1036.85,1.11114,1.13234,1.31301,0.83041,0.68484,0.79757,0.59436,0.38094,2.05098,0.49259,0.00840077,0.00840077,0.00840077
23,1084.1,1.0854,1.10338,1.29862,0.81877,0.68801,0.78928,0.59166,0.37951,1.39657,0.49046,0.00832462,0.00832462,0.00832462
24,1131.72,1.08253,1.0873,1.28975,0.81625,0.71484,0.81084,0.61047,0.36688,2.15102,0.4784,0.00824846,0.00824846,0.00824846
25,1179.0,1.05658,1.05282,1.27728,0.84279,0.67482,0.79636,0.60465,0.37249,1.46895,0.48434,0.00817231,0.00817231,0.00817231
26,1225.29,1.03829,1.03446,1.26647,0.85032,0.68857,0.798,0.60794,0.36688,1.31172,0.48083,0.00809615,0.00809615,0.00809615
27,1272.22,1.05233,1.04661,1.27924,0.8045,0.71251,0.80485,0.62308,0.35591,1.65927,0.46734,0.00802,0.00802,0.00802
28,1320.33,1.05066,1.01665,1.26442,0.83962,0.69558,0.81266,0.6123,0.36483,3.03405,0.47528,0.00794385,0.00794385,0.00794385
29,1367.85,1.03399,0.99494,1.25196,0.87341,0.71795,0.83645,0.63858,0.35335,3.04191,0.46485,0.00786769,0.00786769,0.00786769
30,1415.85,1.05094,1.01475,1.25882,0.84419,0.74937,0.84143,0.64467,0.35694,2.52992,0.4646,0.00779154,0.00779154,0.00779154
